2026-06-04 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 17:17:34 - 17:27:53 | scp_wget | 20260604_normal_transferencia_06_eve.json
2026-06-04 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 17:29:55 - 17:38:21 | ssh | 20260604_normal_ssh_07_eve.json
2026-06-04 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 17:29:55 - 17:40:14 | scp_wget | 20260604_normal_transferencia_07_eve.json
2026-06-04 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 17:42:16 - 17:50:42 | ssh | 20260604_normal_ssh_08_eve.json
2026-06-04 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 17:42:16 - 17:52:35 | scp_wget | 20260604_normal_transferencia_08_eve.json
2026-06-04 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 17:54:36 - 18:03:02 | ssh | 20260604_normal_ssh_09_eve.json
2026-06-04 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 17:54:36 - 18:04:55 | scp_wget | 20260604_normal_transferencia_09_eve.json
2026-06-04 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 18:06:57 - 18:15:23 | ssh | 20260604_normal_ssh_10_eve.json
2026-06-04 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 18:06:57 - 18:17:16 | scp_wget | 20260604_normal_transferencia_10_eve.json
2026-06-15 | normal | http | 192.168.0.20 -> 192.168.0.120 | 17:04:20 - 17:14:24 | curl/wget | 20260615_normal_http_01_eve.json.gz
2026-06-15 | normal | ssh | 192.168.0.20 -> 192.168.0.120 | 17:16:33 - 17:24:36 | ssh | 20260615_normal_ssh_01_eve.json.gz
2026-06-15 | normal | transferencia | 192.168.0.20 -> 192.168.0.120 | 17:26:37 - 17:36:49 | scp/wget | 20260615_normal_transferencia_01_eve.json.gz
2026-06-15 | normal | sostenido | 192.168.0.20 -> 192.168.0.120 | 17:38:50 - 17:53:51 | curl+ssh | 20260615_normal_sostenido_01_eve.json.gz
2026-06-15 | anom | synflood | 192.168.0.100 -> 192.168.0.120 | 18:17:58 - 18:28:03 | hping3 | 20260615_anom_synflood_01_eve.json.gz
2026-06-15 | anom | synflood | 192.168.0.100 -> 192.168.0.120 | 18:48:07 - 18:58:12 | hping3 | 20260615_anom_synflood_01_eve.json.gz
2026-06-15 | anom | synflood | 192.168.0.100 -> 192.168.0.120 | 21:44:57 - 21:55:02 | hping3 | 20260615_anom_synflood_01_eve.json.gz
2026-06-15 | anom | portscan | 192.168.0.100 -> 192.168.0.120 | 21:57:04 - 22:07:09 | nmap | 20260615_anom_portscan_01_eve.json.gz
2026-06-15 | anom | udpflood | 192.168.0.100 -> 192.168.0.120 | 22:09:12 - 22:19:18 | hping3 | 20260615_anom_udpflood_01_eve.json.gz
2026-06-15 | anom | icmpflood | 192.168.0.100 -> 192.168.0.120 | 22:26:02 - 22:36:08 | hping3 | 20260615_anom_icmpflood_01_eve.json.gz
2026-06-15 | anom | httpabuse | 192.168.0.100 -> 192.168.0.120 | 22:42:07 - 22:52:13 | curl | 20260615_anom_httpabuse_01_eve.json.gz
2026-06-15 | anom | bruteforce | 192.168.0.100 -> 192.168.0.120 | 22:54:16 - 23:04:22 | hydra | 20260615_anom_bruteforce_01_eve.json.gz
2026-06-16 | mixto | http_synflood | 192.168.0.20+192.168.0.100 -> 192.168.0.120 | 01:30:22 - 01:40:27 | curl+hping3 | 20260616_mixto_http_synflood_01_eve.json.gz
2026-06-16 | mixto | ssh_portscan | 192.168.0.20+192.168.0.100 -> 192.168.0.120 | 01:46:28 - 01:56:33 | ssh+nmap | 20260616_mixto_ssh_portscan_01_eve.json.gz
2026-06-16 | mixto | transfer_udpflood | 192.168.0.20+192.168.0.100 -> 192.168.0.120 | 01:58:36 - 02:08:41 | scp/wget+hping3 | 20260616_mixto_transfer_udpflood_01_eve.json.gz
