Modelo,Acc,Prec,Rec,F1,AUC-ROC,Train(s),Infer(ms),FP,FN,Tipo
Isolation Forest,0.5317079441254606,0.5163818294518728,0.9994858171222898,0.6809516858852722,0.9991780741093559,0.0,285.7186794281006,10923,6,Unsupervised
One-Class SVM,0.5141828777101722,0.5071959650419583,0.9996572114148599,0.672954886350525,0.9876739904886818,0.5634536743164062,993.4821128845215,11334,4,Unsupervised
Random Forest,0.9995715142685748,0.9998285175340822,0.9993144228297197,0.9995714040802332,0.9993388783526546,2.9344019889831543,66.89000129699707,2,8,Supervised
Decision Tree,0.9996572114148599,0.9998285469352765,0.9994858171222898,0.9996571526527813,0.9994951990834157,0.39984679222106934,2.0656585693359375,2,6,Supervised
Logistic Regression,0.9825177821578541,0.9662167756893268,1.0,0.982818158847806,0.9999886094546329,6.717552185058594,4.889249801635742,408,0,Supervised
